packet_count,byte_count,unique_ips,unique_ports,tcp_syn_count,tcp_ack_count,tcp_fin_count,tcp_count,udp_count,icmp_count,avg_packet_size,median_packet_size,max_packet_size,min_packet_size,std_dev_packet_size,rate_of_change_packet_count,rate_of_change_byte_count,start_time
172530,218787068,189,785,370,170565,350,170811,1686,27,1268.1102880658436,1514,4434,60,1240.8066971570972,34820,44309053,09:47:15.000
94094,118759073,142,536,168,92586,158,92721,1316,51,1262.1322613556656,1514,5538,60,1243.703167122462,0,0,09:48:00.000
220534,287000899,164,441,153,219339,158,219441,1054,39,1301.3907107294112,1514,5894,60,1259.5653020579668,126440,168241826,09:48:45.000
25604,33217873,59,131,45,25383,22,25409,188,7,1297.3704499296985,1514,4814,60,1257.4751047288933,-194930,-253783026,09:49:30.000
43892,56324475,125,336,111,43198,26,43253,639,0,1283.2515036908776,1514,4434,60,1263.3060338507273,0,0,09:50:15.000
235620,306890442,184,454,156,234613,155,234703,917,0,1302.4804430863255,1514,5894,60,1258.129726156038,191728,250565967,09:51:00.000
79431,104301556,91,183,20,79290,71,79306,125,0,1313.1089373166649,1514,4434,60,1262.9146306199245,-156189,-202588886,09:51:45.000
180576,234706096,137,250,61,180128,143,180161,415,0,1299.763512316144,1514,6703,60,1247.4225213771178,0,0,09:52:30.000
135278,175432126,88,194,64,134787,59,134821,457,0,1296.8267271840211,1514,6703,60,1245.2589007072472,-45298,-59273970,09:53:15.000
123228,155535762,120,727,291,121035,154,121188,2040,0,1262.178741844386,1514,5538,60,1235.5596132917328,0,0,09:54:00.000
187278,242827922,137,356,177,186498,165,186595,683,0,1296.617445722402,1514,4434,60,1253.90364830503,64050,87292160,09:54:45.000
329,364424,5,5,0,326,0,326,3,0,1107.6717325227964,90,4434,60,1241.456937187481,-186949,-242463498,09:55:30.000
71974,85505059,147,775,474,70191,222,70428,1546,0,1187.999263622975,1484,5574,60,1202.6794322366009,0,0,09:56:15.000
249801,314057582,235,1131,764,246466,476,246898,2903,0,1257.2310839428185,1514,5574,60,1243.962751092738,177827,228552523,09:57:00.000
45090,57978801,117,277,54,44547,39,44576,514,0,1285.846107784431,1514,4434,60,1256.0839890200402,-204711,-256078781,09:57:45.000
25364,30994483,107,300,164,24679,13,24763,601,0,1221.9871865636335,1514,10274,60,1244.7987007967322,0,0,09:58:30.000
220690,275471506,340,1398,935,216688,672,217176,3514,0,1248.2283112057637,1514,10274,60,1245.8148588069982,195326,244477023,09:59:15.000
95725,121433968,220,498,271,94928,176,95101,624,0,1268.571094280491,1514,7354,60,1248.8284528249721,-124965,-154037538,10:00:00.000
171733,219235334,269,918,274,169765,419,169926,1807,0,1276.60574263537,1514,5694,60,1258.869650112017,0,0,10:00:45.000
142140,185392345,207,422,64,141706,189,141764,376,0,1304.29397073308,1514,4434,60,1267.7489692266404,-29593,-33842989,10:01:30.000
118795,152808307,196,514,179,117787,224,117881,911,3,1286.3193484574267,1514,4718,60,1260.9399003318188,0,0,10:02:15.000
194698,249238343,236,771,246,193118,379,193269,1429,0,1280.1279057822885,1514,4718,60,1251.8722423092865,75903,96430036,10:03:00.000
23484,30526751,68,108,16,23384,8,23392,92,0,1299.8957162323284,1514,4569,60,1252.0962566862365,-171214,-218711592,10:03:45.000
39571,51599656,93,156,20,39500,54,39511,60,0,1303.9765484824745,1514,7354,60,1262.5845976896117,0,0,10:04:30.000
237251,302457258,267,927,590,235272,354,235628,1623,0,1274.8408141588445,1514,7354,60,1249.8485607555156,197680,250857602,10:05:15.000
79862,100014675,153,584,306,78651,144,78854,1008,0,1252.3437304350005,1514,4680,60,1233.013241257589,-157389,-202442583,10:06:00.000
54232,56364047,322,1480,869,50686,688,51145,3087,0,1039.3134496238383,145,4434,60,1187.0912155512783,0,0,10:06:45.000
18728,7348384,340,1758,821,14367,738,14810,3918,0,392.3741990602307,79,4434,60,673.7514133422253,-35504,-49015663,10:07:30.000
11178,5168567,297,864,176,5724,586,5893,5285,0,462.387457505815,81,4434,60,618.0002722147226,-7550,-2179817,10:08:15.000
27800,24027487,296,1228,808,24883,441,25415,2383,2,864.2980935251799,141,5894,60,1004.3794488236526,16622,18858920,10:09:00.000
43463,28884689,404,2942,1420,34017,1042,34780,8660,18,664.581114971355,90,14210,60,939.7627270502996,15663,4857202,10:09:45.000
16777,9432690,353,1225,404,13853,647,14098,2647,32,562.2393753352804,80,14210,60,892.4077680110465,-26686,-19451999,10:10:30.000
25484,14470057,378,2040,880,19845,772,20321,5131,18,567.8094883063883,84,9238,60,912.4523025156258,8707,5037367,10:11:15.000
25889,14426358,379,2002,1023,20667,886,21204,4675,10,557.2389045540577,85,7024,60,875.0640952200825,405,-43699,10:12:00.000
73792,103307302,291,1034,522,71570,509,71852,1922,18,1399.979699696444,250,11734,60,1772.9281415836563,47903,88880944,10:12:45.000
114915,181933222,283,1346,574,110981,215,111291,3624,0,1583.1982073706654,763,13194,60,2057.8033392576212,0,0,10:13:30.000
222153,307171610,467,2842,1448,213303,880,214058,8085,4,1382.7029569710965,260,13194,60,1748.3936215884091,107238,125238388,10:14:15.000
142977,219032171,336,865,294,141452,347,141608,1365,4,1531.939899424383,1514,11734,60,1827.4355607875377,0,0,10:15:00.000
98098,145486787,463,1310,505,95482,762,95807,2275,16,1483.0759750453628,169,11734,60,1906.864209621467,-44879,-73545384,10:15:45.000
15969,6093698,481,1560,719,12830,772,13241,2710,16,381.5954662157931,74,7354,60,689.6290022402459,-82129,-139393089,10:16:30.000
31793,15284172,477,2765,1616,24781,1557,25777,6008,8,480.74016292894663,82,5894,60,771.2957627282723,15824,9190474,10:17:15.000
18894,8074043,463,1870,1050,14727,998,15320,3558,16,427.3337038213189,75,8958,60,745.1414583841678,-12899,-7210129,10:18:00.000
24423,11755997,447,1923,1230,19572,1070,20367,4044,12,481.3494247225976,80,5894,60,769.179477324656,5529,3681954,10:18:45.000
19109,9487097,368,1577,671,15470,763,15874,3211,24,496.47270919462034,85,5894,60,769.7671589107729,-5314,-2268900,10:19:30.000
18339,9698392,321,1523,592,14399,664,14769,3554,16,528.8397404438628,87,5894,60,797.0788772587332,-770,211295,10:20:15.000
6815,2600292,221,780,279,5024,255,5172,1639,4,381.55421863536316,76,5894,60,641.7239841696504,-11524,-7098100,10:21:00.000
5813,2653509,166,574,262,4710,232,4857,944,12,456.47841045931534,74,5894,60,740.9920745343509,0,0,10:21:45.000
5947,1494428,238,692,238,4527,408,4668,1267,12,251.2910711283,66,8814,60,595.8732957233569,134,-1159081,10:22:30.000
8353,3054568,222,875,395,6299,482,6519,1818,16,365.6851430623728,75,8814,60,697.1495709200171,2406,1560140,10:23:15.000
17988,12713658,242,1021,511,15135,478,15425,2531,32,706.7855236824549,90,7214,60,945.057873041322,9635,9659090,10:24:00.000
16189,7521869,282,1351,756,12538,575,12942,3219,28,464.6283896472914,84,5894,60,759.0016177216389,-1799,-5191789,10:24:45.000
22915,10418780,390,1844,1018,17418,860,17947,4946,22,454.6707396901593,85,5894,60,761.7249306294343,6726,2896911,10:25:30.000
17409,8483617,336,1452,714,13945,738,14321,3068,18,487.3121374001953,85,5894,60,801.9798664773194,-5506,-1935163,10:26:15.000
33515,19190645,438,2406,1645,27868,1276,28842,4649,24,572.5986871550052,89,6906,60,849.3068799963168,16106,10707028,10:27:00.000
28992,18536539,422,1708,1007,25638,1352,26257,2719,16,639.3673772075056,85,8449,60,886.6859601911925,-4523,-654106,10:27:45.000
20493,11484358,354,1498,949,17484,1061,18029,2458,0,560.4039428097399,87,8449,60,811.1122022529543,-8499,-7052181,10:28:30.000
36685,19234020,419,2080,1842,31963,2219,33358,3323,0,524.3020308027805,80,5894,60,769.3225160439814,16192,7749662,10:29:15.000
7650,2057514,256,781,453,6083,553,6405,1245,0,268.95607843137253,74,5894,60,532.1071671069215,-29035,-17176506,10:30:00.000
18632,13381166,233,995,676,16231,776,16709,1923,0,718.1819450407901,105,5538,60,943.5383928926148,10982,11323652,10:30:45.000
14816,10105081,176,867,509,12624,423,12954,1862,0,682.0384044276458,100,5538,60,940.4368961062576,-3816,-3276085,10:31:30.000
23578,11005531,321,1941,1440,19076,1040,19865,3713,0,466.7711850029689,78,8754,60,705.1480811094758,8762,900450,10:32:15.000
12161,3482928,278,1025,768,10533,865,10986,1175,0,286.4014472494038,66,4410,60,521.2492647459846,-11417,-7522603,10:33:00.000
21061,10470915,327,1717,1169,17356,855,18037,3024,0,497.17083709225585,78,5795,60,804.420566737164,8900,6987987,10:33:45.000
15648,6058963,276,1773,1049,11411,739,12028,3620,0,387.20366820040897,87,5795,60,624.5371738232561,-5413,-4411952,10:34:30.000
9145,4247893,274,851,236,7740,463,7888,1257,0,464.50442864953527,66,4564,60,787.9143409320304,0,0,10:35:15.000
14827,5930560,316,1108,839,12381,736,12866,1961,0,399.9838133135496,66,6310,60,714.6842635420503,5682,1682667,10:36:00.000
24263,12753804,353,1724,1133,19563,1133,20231,4023,9,525.6482710299633,85,6310,60,801.4397784709402,9436,6823244,10:36:45.000
19794,12148498,296,1021,797,17506,894,18066,1720,8,613.7464888350005,90,4795,60,817.1976270764989,-4469,-605306,10:37:30.000
13023,8075573,253,787,499,11459,497,11811,1212,0,620.1008216232818,79,5574,60,875.2963494433862,-6771,-4072925,10:38:15.000
15043,8368247,281,959,745,12882,832,13395,1648,0,556.2884398058898,74,5574,60,834.3548515538935,2020,292674,10:39:00.000
17406,12452473,235,687,552,12223,601,12722,4684,0,715.4126737906469,97,7306,60,888.6183155170226,2363,4084226,10:39:45.000
18021,11014738,207,931,779,15052,667,15620,2401,0,611.2168026191665,90,7306,60,890.180099104978,615,-1437735,10:40:30.000
15460,7725682,222,1303,786,12246,724,12757,2703,0,499.72069857697284,87,4598,60,792.5589242330265,-2561,-3289056,10:41:15.000
6816,2177252,217,597,327,5961,610,6223,593,0,319.4325117370892,66,18774,60,835.554258478094,-8644,-5548430,10:42:00.000
4524,1100521,161,460,252,3755,344,3939,585,0,243.26282051282053,66,4434,60,465.4196970099353,-2292,-1076731,10:42:45.000
5846,2582341,148,440,286,4758,357,4929,917,0,441.7278481012658,78,4434,60,654.4955340092314,1322,1481820,10:43:30.000
17018,11018846,190,756,666,15300,581,15741,1273,0,647.4818427547303,97,4434,60,824.6144443534131,11172,8436505,10:44:15.000
20854,14146078,184,1011,788,18465,591,18967,1883,0,678.3388318787762,107,8754,60,846.3715034586995,3836,3127232,10:45:00.000
16068,10441546,169,796,562,14229,565,14615,1453,0,649.8348269853125,97,8754,60,852.2531125865281,-4786,-3704532,10:45:45.000
22798,12461292,350,1546,1201,17466,653,18162,4636,0,546.5958417405036,88,5894,60,773.5129562266536,6730,2019746,10:46:30.000
12478,4882860,313,1221,685,8996,692,9412,3066,0,391.3175188331463,79,5894,60,646.0336529045708,-10320,-7578432,10:47:15.000
12410,5588546,325,1087,742,10259,699,10692,1718,0,450.32602739726025,74,5713,60,730.1412309648673,-68,705686,10:48:00.000
12381,3785253,363,1236,888,10003,930,10541,1840,0,305.73079718924157,72,4515,60,553.5698530833503,-29,-1803293,10:48:45.000
18229,9370166,324,1356,883,15387,831,15991,2238,0,514.0252345164299,77,5574,60,758.7014723910331,5848,5584913,10:49:30.000
27778,14008264,421,2296,1312,21923,1196,22850,4928,0,504.2934696522428,85,5574,60,784.4602551996147,9549,4638098,10:50:15.000
8551,4761788,274,825,285,7145,372,7307,1244,0,556.8691381125014,85,5574,60,829.0488921382106,-19227,-9246476,10:51:00.000
4203,590502,256,530,185,3737,510,3947,256,0,140.49536045681657,66,5735,60,294.5395106851282,0,0,10:51:45.000
37384,26100910,385,2010,1364,32861,1099,33676,3708,0,698.1839824523861,102,5858,60,897.0078116674267,33181,25510408,10:52:30.000
18279,6360907,357,1849,942,13476,997,14067,4212,0,347.98987909623065,74,4598,60,645.834880760386,-19105,-19740003,10:53:15.000
6095,988736,254,593,249,5344,506,5540,555,0,162.2208367514356,66,4602,60,336.322845491197,-12184,-5372171,10:54:00.000
12605,9257062,215,678,340,11505,574,11741,864,0,734.3960333201111,97,4939,60,964.9978894774365,6510,8268326,10:54:45.000
29172,19522531,269,2074,1123,23384,820,24003,5153,16,669.2215480597833,102,11330,60,922.4238265163468,16567,10265469,10:55:30.000
23593,11168280,334,2045,1018,18078,771,18626,4919,48,473.3726105200695,86,4434,60,739.0143882123439,-5579,-8354251,10:56:15.000
18469,11723400,344,1147,536,16026,499,16341,2126,2,634.7609507823921,74,10526,60,1022.1108599233976,-5124,555120,10:57:00.000
20129,11631377,370,1541,821,16350,689,16812,3317,0,577.8417705797606,83,10526,60,954.7667997795935,1660,-92023,10:57:45.000
9400,3151448,284,1000,443,7333,680,7590,1810,0,335.2604255319149,70,5538,60,622.1690257853476,-10729,-8479929,10:58:30.000
31065,18823060,443,2234,1638,25399,875,26359,4706,0,605.9249959761789,86,5994,60,849.1136829206943,21665,15671612,10:59:15.000
50543,30043569,518,2601,2132,43997,1892,45312,5231,0,594.4160220010684,85,5574,60,813.8831717453902,19478,11220509,11:00:00.000
7687,1541326,352,757,253,6699,630,6926,757,0,200.5107324053597,66,4410,60,402.94710937011297,-42856,-28502243,11:00:45.000
9268,4539031,245,570,360,8384,601,8729,539,0,489.7530211480362,73,4410,60,724.4419817358117,1581,2997705,11:01:30.000
8859,4199669,237,906,500,6802,474,7194,1665,0,474.05677841742863,85,5894,60,739.9013036174398,-409,-339362,11:02:15.000
8703,4135748,183,736,477,6993,342,7302,1401,0,475.2094679995404,75,5289,60,740.4391442207545,-156,-63921,11:03:00.000
8651,4845891,165,495,374,7765,310,8041,610,0,560.1538550456595,78,5858,60,820.4131886119469,-52,710143,11:03:45.000
10876,6666554,178,695,409,9185,467,9530,1346,0,612.960095623391,94,5858,60,903.101933304532,2225,1820663,11:04:30.000
2430,495655,122,262,129,2011,161,2097,333,0,203.97325102880657,66,5436,60,392.99755978954516,-8446,-6170899,11:05:15.000
2166,411751,112,226,119,1682,129,1770,396,0,190.09741458910435,70,5007,60,325.9460882844324,-264,-83904,11:06:00.000
6476,4863313,145,349,199,5704,147,5816,660,0,750.974830142063,132,4434,60,923.7820207605176,4310,4451562,11:06:45.000
4798,4457187,73,179,123,4422,26,4484,314,0,928.9676948728637,514,4434,60,979.6498574830049,-1678,-406126,11:07:30.000
4153,3812119,72,154,98,3948,39,4007,146,0,917.9193354201782,599,4434,60,927.8961426904792,0,0,11:08:15.000
20738,13486255,241,1023,785,17927,601,18456,2282,0,650.3160864114186,97,4434,60,858.2860103960438,16585,9674136,11:09:00.000
28646,13709086,325,1977,1902,23832,1611,24983,3663,0,478.5689450534106,77,5894,60,719.4723826299231,7908,222831,11:09:45.000
24636,9827176,368,2253,1266,18710,946,19373,5257,6,398.89495047897384,83,5894,60,646.8902055080843,-4010,-3881910,11:10:30.000
15644,5914245,364,1218,590,10075,1119,10534,5110,0,378.051968805932,78,5894,60,572.342185691142,-8992,-3912931,11:11:15.000
8865,4432771,228,602,162,4362,491,4490,4375,0,500.0305696559504,82,5894,60,629.0469463949719,-6779,-1481474,11:12:00.000
25866,17869681,272,1141,797,23193,913,23855,2011,0,690.8559885564061,108,5894,60,860.886098958053,17001,13436910,11:12:45.000
8513,5247545,190,512,255,7556,318,7728,785,0,616.4154822036885,86,5894,60,869.1333342274484,-17353,-12622136,11:13:30.000
5632,2954873,182,460,181,4834,267,4940,692,0,524.6578480113636,78,5894,60,804.3919437001508,-2881,-2292672,11:14:15.000
10005,4173009,213,849,461,8024,514,8302,1703,0,417.09235382308844,90,5894,60,697.8183026223617,4373,1218136,11:15:00.000
12711,8027970,195,608,363,11577,432,11871,840,0,631.5765872079302,97,4434,60,832.8985748386264,2706,3854961,11:15:45.000
13582,7548865,225,929,595,11610,628,12102,1476,0,555.7992195552938,87,5894,60,817.4815067039906,871,-479105,11:16:30.000
4464,826313,207,517,200,3656,399,3821,639,0,185.105958781362,66,5699,60,361.88112567830314,-9118,-6722552,11:17:15.000
3893,814839,164,343,167,3325,197,3424,469,0,209.3087593115849,85,3576,60,345.01839219200616,-571,-11474,11:18:00.000
20359,9962997,363,1490,1152,16438,681,17124,3235,0,489.3657350557493,86,8814,60,771.6027648328791,16466,9148158,11:18:45.000
18540,7875355,372,1606,1032,14442,901,15148,3365,27,424.7764293419633,77,5858,60,719.8688379234887,-1819,-2087642,11:19:30.000
16513,8692436,310,917,689,14706,936,15434,1068,11,526.3995639798947,78,4434,60,754.3718653704009,-2027,817081,11:20:15.000
16154,5321101,306,1135,1118,13571,1592,15001,1153,0,329.39835334901574,72,4434,60,583.0960003490994,-359,-3371335,11:21:00.000
21520,8843243,355,1583,1354,17242,1458,18551,2969,0,410.93136617100373,76,5574,60,685.6798831913098,5366,3522142,11:21:45.000
12138,3947258,221,871,670,10124,855,10977,1161,0,325.1983852364475,72,4832,60,585.6988544923303,-9382,-4895985,11:22:30.000
25530,12562565,259,1264,1361,22790,1741,24175,1355,0,492.0707011359185,78,4728,60,742.1807715543462,13392,8615307,11:23:15.000
2781,947224,102,196,154,2527,171,2645,136,0,340.60553757641134,103,4434,60,510.4808734332882,-22749,-11615341,11:24:00.000
9517,8132804,92,363,252,8628,179,8800,717,0,854.5554271303982,107,4832,60,1046.4495226969932,0,0,11:24:45.000
25722,13571047,291,1574,1268,21368,1228,22384,3334,0,527.6046574916414,83,4832,60,821.2855913143625,16205,5438243,11:25:30.000
8294,2720731,205,640,455,6927,593,7513,781,0,328.0360501567398,66,4434,60,614.7708880403171,-17428,-10850316,11:26:15.000
3958,1046997,189,376,167,3274,387,3491,467,0,264.5267812026276,66,4434,60,516.4638738202293,-4336,-1673734,11:27:00.000
10272,5390088,214,794,493,8398,543,8785,1487,0,524.7359813084112,95,5538,60,784.7416561509497,6314,4343091,11:27:45.000
3358,650849,150,287,98,3002,227,3095,263,0,193.82042882668256,66,3368,60,351.248794333477,-6914,-4739239,11:28:30.000
18415,10539736,281,1231,949,14858,520,15425,2990,0,572.3451534075482,92,4434,60,809.9280484866874,15057,9888887,11:29:15.000
17244,7966560,272,1358,801,13977,759,14476,2766,0,461.9902574808629,90,4434,60,722.3144751550418,-1171,-2573176,11:30:00.000
21435,10768220,351,1571,1043,17757,833,18393,3042,0,502.36622346629343,89,5894,60,768.0748451917697,4191,2801660,11:30:45.000
14188,6740332,289,1149,642,11527,583,11966,2222,0,475.07273752466875,85,4434,60,700.294078694513,-7247,-4027888,11:31:30.000
8397,3678641,255,656,338,7123,365,7371,1026,0,438.0899130641896,76,4434,60,681.2075703149742,-5791,-3061691,11:32:15.000
13789,5280022,281,987,864,11760,1050,12440,1345,0,382.9155123649286,74,4434,60,588.3213933130903,5392,1601381,11:33:00.000
20990,11154823,290,1446,1176,17366,1070,18203,2783,0,531.4351119580753,85,5538,60,801.6226562699851,7201,5874801,11:33:45.000
23092,10849024,347,1928,1115,17824,1008,18549,4507,36,469.8174259483804,86,5105,60,707.1148515116458,2102,-305799,11:34:30.000
14263,5366356,309,947,678,12631,1090,13334,920,9,376.2431466030989,66,4574,60,649.4348013126282,-8829,-5482668,11:35:15.000
11752,3035752,330,1337,820,8609,852,9326,2414,12,258.31790333560247,66,5538,60,520.4960597897979,-2511,-2330604,11:36:00.000
11129,3547131,290,879,672,9334,975,10131,998,0,318.7286368945997,66,5538,60,586.0217176379074,-623,511379,11:36:45.000
10491,2777387,237,1108,704,7804,769,8330,2152,9,264.7399675912687,72,6120,60,502.2652942006233,-638,-769744,11:37:30.000
